Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Machine Learning Based Power Grid Outage Prediction in Response to Extreme Events,R. Eskandarpour; A. Khodaei,"Department of Electrical and Computer Engineering, University of Denver, Denver, CO, USA",IEEE Transactions on Power Systems,20170620,2017,32,4,3315,3316,"A machine learning based prediction method is proposed in this paper to determine the potential outage of power grid components in response to an imminent hurricane. The decision boundary, which partitions the components' states into two sets of damaged and operational, is obtained via logistic regression by using a second-order function and proper parameter fitting. Two metrics are examined to validate the performance of the obtained decision boundary in efficiently predicting component outages.",0885-8950;08858950,,10.1109/TPWRS.2016.2631895,US National Science Foundation; ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7752978,Extreme events;machine learning;power system resilience,Hurricanes;Logistics;Neural networks;Power grids;Predictive models;Regression tree analysis;Wind speed,learning (artificial intelligence);power engineering computing;power grids;power system reliability;regression analysis,decision boundary;logistic regression;machine learning based power grid outage prediction;parameter fitting;second-order function,,,,,,,20161122,Jul-17,,IEEE,IEEE Journals & Magazines
Local Receptive Fields Based Extreme Learning Machine,G. B. Huang; Z. Bai; L. L. C. Kasun; C. M. Vong,"School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore",IEEE Computational Intelligence Magazine,20150409,2015,10,2,18,29,"Extreme learning machine (ELM), which was originally proposed for ""generalized"" single-hidden layer feedforward neural networks (SLFNs), provides efficient unified learning solutions for the applications of feature learning, clustering, regression and classification. Different from the common understanding and tenet that hidden neurons of neural networks need to be iteratively adjusted during training stage, ELM theories show that hidden neurons are important but need not be iteratively tuned. In fact, all the parameters of hidden nodes can be independent of training samples and randomly generated according to any continuous probability distribution. And the obtained ELM networks satisfy universal approximation and classification capability. The fully connected ELM architecture has been extensively studied. However, ELM with local connections has not attracted much research attention yet. This paper studies the general architecture of locally connected ELM, showing that: 1) ELM theories are naturally valid for local connections, thus introducing local receptive fields to the input layer; 2) each hidden node in ELM can be a combination of several hidden nodes (a subnetwork), which is also consistent with ELM theories. ELM theories may shed a light on the research of different local receptive fields including true biological receptive fields of which the exact shapes and formula may be unknown to human beings. As a specific example of such general architectures, random convolutional nodes and a pooling structure are implemented in this paper. Experimental results on the NORB dataset, a benchmark for object recognition, show that compared with conventional deep learning solutions, the proposed local receptive fields based ELM (ELM-LRF) reduces the error rate from 6.5% to 2.7% and increases the learning speed up to 200 times.",1556-603X;1556603X,,10.1109/MCI.2015.2405316,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7083684,,Approximation methods;Feature extraction;Feedforward neural networks;Iterative methods;Learning systems;Network architecture;Neural networks;Probability distribution;Regression analysis;Training,approximation theory;feedforward neural nets;learning (artificial intelligence);object recognition,ELM networks;ELM-LRF;NORB dataset;SLFN;continuous probability distribution;feature clustering;feature learning;generalized single-hidden layer feedforward neural networks;local receptive field based extreme learning machine;object recognition;unified learning solutions;universal approximation;universal classification capability,,79,,66,,,,May-15,,IEEE,IEEE Journals & Magazines
Firefly-Algorithm-Inspired Framework With Band Selection and Extreme Learning Machine for Hyperspectral Image Classification,H. Su; Y. Cai; Q. Du,"School of Earth Sciences and Engineering, Hohai University, Nanjing, China",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,20170520,2017,10,1,309,320,"A firefly algorithm (FA) inspired band selection and optimized extreme learning machine (ELM) for hyperspectral image classification is proposed. In this framework, FA is to select a subset of original bands to reduce the complexity of the ELM network. It is also adapted to optimize the parameters in ELM (i.e., regularization coefficient C, Gaussian kernel σ, and hidden number of neurons L). Due to very low complexity of ELM, its classification accuracy can be used as the objective function of FA during band selection and parameter optimization. In the experiments, two hyperspectral image datasets acquired by HYDICE and HYMAP are used, and the experiment results indicate that the proposed method can offer better performance, compared with particle swarm optimization and other related band selection algorithms.",1939-1404;19391404,,10.1109/JSTARS.2016.2591004,Fundamental Research Funds for the Central Universities; Institute of Remote Sensing and Digital Earth; Open Research Fund of Key Laboratory of Digital Earth Science; Priority Academic Program Development of Jiangsu Higher Education Institutions; 10.13039/501100001809 - National Natural Science Foundation of China; 10.13039/501100002367 - Chinese Academy of Sciences; ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7536149,Band selection;extreme learning machine (ELM);firefly algorithm (FA);hyperspectral image classification,Brightness;Hyperspectral imaging;Linear programming;Neurons;Optimization;Training,geophysical image processing;geophysical techniques;image classification,Gaussian kernel;HYDICE;HYMAP;band selection;classification accuracy;firefly-algorithm-inspired framework;hyperspectral image classification;optimized extreme learning machine,,7,,,,,20160808,Jan. 2017,,IEEE,IEEE Journals & Magazines
A 128-Channel Extreme Learning Machine-Based Neural Decoder for Brain Machine Interfaces,Y. Chen; E. Yao; A. Basu,"Centre of Excellence in IC Design (VIRTUS), School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore",IEEE Transactions on Biomedical Circuits and Systems,20160304,2016,10,3,679,692,"Currently, state-of-the-art motor intention decoding algorithms in brain-machine interfaces are mostly implemented on a PC and consume significant amount of power. A machine learning coprocessor in 0.35- μm CMOS for the motor intention decoding in the brain-machine interfaces is presented in this paper. Using Extreme Learning Machine algorithm and low-power analog processing, it achieves an energy efficiency of 3.45 pJ/MAC at a classification rate of 50 Hz. The learning in second stage and corresponding digitally stored coefficients are used to increase robustness of the core analog processor. The chip is verified with neural data recorded in monkey finger movements experiment, achieving a decoding accuracy of 99.3% for movement type. The same coprocessor is also used to decode time of movement from asynchronous neural spikes. With time-delayed feature dimension enhancement, the classification accuracy can be increased by 5% with limited number of input channels. Further, a sparsity promoting training scheme enables reduction of number of programmable weights by ≈ 2X.",1932-4545;19324545,,10.1109/TBCAS.2015.2483618,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7348721,Brain-machine interfaces;extreme learning machine;implant;machine learning;motor intention;neural decoding;neural network;portable;very large scale integration (VLSI),Decoding;Digital signal processing;Implants;Machine learning algorithms;Neurons;Sorting;Training,CMOS integrated circuits;biomechanics;biomedical electronics;biomedical equipment;brain-computer interfaces;learning (artificial intelligence);low-power electronics;medical computing;neurophysiology,128-channel extreme learning machine algorithm;CMOS;PC;asynchronous neural spikes;brain-machine interfaces;classification accuracy;core analog processor;digitally stored coefficients;frequency 50 Hz;low-power analog processing;machine learning coprocessor;monkey finger movements;neural decoder;pJ-MAC;sparsity promoting training scheme;state-of-the-art motor intention decoding algorithms;time-delayed feature dimension enhancement,,13,,43,,,20151207,Jun-16,,IEEE,IEEE Journals & Magazines
Unsupervised Feature Learning Classification With Radial Basis Function Extreme Learning Machine Using Graphic Processors,D. Lam; D. Wunsch,"Department of Electrical and Computer Engineering, Applied Computational Intelligence Laboratory, Missouri University of Science and Technology, Rolla, MO, USA",IEEE Transactions on Cybernetics,20170520,2017,47,1,224,231,"Ever-increasing size and complexity of data sets create challenges and potential tradeoffs of accuracy and speed in learning algorithms. This paper offers progress on both fronts. It presents a mechanism to train the unsupervised learning features learned from only one layer to improve performance in both speed and accuracy. The features are learned by an unsupervised feature learning (UFL) algorithm. Then, those features are trained by a fast radial basis function (RBF) extreme learning machine (ELM). By exploiting the massive parallel computing attribute of modern graphics processing unit, a customized compute unified device architecture (CUDA) kernel is developed to further speed up the computing of the RBF kernel in the ELM. Results tested on Canadian Institute for Advanced Research and Mixed National Institute of Standards and Technology data sets confirm the UFL RBF ELM achieves high accuracy, and the CUDA implementation is up to 20 times faster than CPU and the naive parallel approach.",2168-2267;21682267,,10.1109/TCYB.2015.2511149,Mary K. Finley Missouri Endowment; Missouri S&T Intelligent Systems Center; 10.13039/100000001 - National Science Foundation; ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7373625,Compute unified device architecture (CUDA);extreme learning machine (ELM);neural network;radial basis function (RBF);support vector machine (SVM),Graphics processing units;Instruction sets;Kernel;Machine learning;Support vector machines;Training,parallel architectures;parallel processing;radial basis function networks;unsupervised learning,RBF ELM;UFL algorithm;customized compute unified device architecture;graphic processors;massive parallel computing;modern graphics processing unit;radial basis function extreme learning machine;unsupervised feature learning classification algorithm,,,,,,,20160106,Jan. 2017,,IEEE,IEEE Journals & Magazines
Inverse-Free Extreme Learning Machine With Optimal Information Updating,S. Li; Z. H. You; H. Guo; X. Luo; Z. Q. Zhao,"Department Computing, Hong Kong Polytechnic University, Hong Kong",IEEE Transactions on Cybernetics,20170520,2016,46,5,1229,1241,"The extreme learning machine (ELM) has drawn insensitive research attentions due to its effectiveness in solving many machine learning problems. However, the matrix inversion operation involved in the algorithm is computational prohibitive and limits the wide applications of ELM in many scenarios. To overcome this problem, in this paper, we propose an inverse-free ELM to incrementally increase the number of hidden nodes, and update the connection weights progressively and optimally. Theoretical analysis proves the monotonic decrease of the training error with the proposed updating procedure and also proves the optimality in every updating step. Extensive numerical experiments show the effectiveness and accuracy of the proposed algorithm.",2168-2267;21682267,,10.1109/TCYB.2015.2434841,Young Scientist Foundation of Chongqing; 10.13039/501100001809 - National Natural Science Foundation of China; ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7115113,Extreme learning machine (ELM);inverse-free;neural networks;optimal updates,Accuracy;Approximation algorithms;Approximation error;Least squares approximations;Neural networks;Training,approximation theory;learning (artificial intelligence);matrix algebra,ELM;inverse-free extreme learning machine;machine learning problems;matrix inversion operation;neural networks;optimal information updating,,21,,64,,,20150601,May-16,,IEEE,IEEE Journals & Magazines
Is Extreme Learning Machine Feasible? A Theoretical Assessment (Part I),X. Liu; S. Lin; J. Fang; Z. Xu,"School of Mathematics and Statistics, Institute for Information and System Sciences, Xi&#8217;an Jiaotong University, Xi&#x2019;an, China",IEEE Transactions on Neural Networks and Learning Systems,20170520,2015,26,1,7,20,"An extreme learning machine (ELM) is a feedforward neural network (FNN) like learning system whose connections with output neurons are adjustable, while the connections with and within hidden neurons are randomly fixed. Numerous applications have demonstrated the feasibility and high efficiency of ELM-like systems. It has, however, been open if this is true for any general applications. In this two-part paper, we conduct a comprehensive feasibility analysis of ELM. In Part I, we provide an answer to the question by theoretically justifying the following: 1) for some suitable activation functions, such as polynomials, Nadaraya-Watson and sigmoid functions, the ELM-like systems can attain the theoretical generalization bound of the FNNs with all connections adjusted, i.e., they do not degrade the generalization capability of the FNNs even when the connections with and within hidden neurons are randomly fixed; 2) the number of hidden neurons needed for an ELM-like system to achieve the theoretical bound can be estimated; and 3) whenever the activation function is taken as polynomial, the deduced hidden layer output matrix is of full column-rank, therefore the generalized inverse technique can be efficiently applied to yield the solution of an ELM-like system, and, furthermore, for the nonpolynomial case, the Tikhonov regularization can be applied to guarantee the weak regularity while not sacrificing the generalization capability. In Part II, however, we reveal a different aspect of the feasibility of ELM: there also exists some activation functions, which makes the corresponding ELM degrade the generalization capability. The obtained results underlie the feasibility and efficiency of ELM-like systems, and yield various generalizations and improvements of the systems as well.",2162-237X;2162237X,,10.1109/TNNLS.2014.2335212,National 973 Program of China; National Science Foundation of China; ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6861448,Extreme learning machine (ELM);feasibility;generalization capability;neural networks;neural networks.,Biological neural networks;Estimation;Kernel;Learning systems;Neurons;Polynomials;Training,feedforward neural nets;generalisation (artificial intelligence);learning (artificial intelligence);transfer functions,ELM-like systems;FNN;Nadaraya-Watson functions;Tikhonov regularization;activation functions;extreme learning machine;feedforward neural network;full column-rank;generalization capability;generalized inverse technique;hidden layer output matrix;hidden neurons;learning system;sigmoid functions,"0;Algorithms;Artificial Intelligence;Computer Simulation;Generalization (Psychology);Humans;Learning;Models, Neurological;Nerve Net;Neural Networks (Computer);Neurons",46,,42,,,20140721,Jan. 2015,,IEEE,IEEE Journals & Magazines
A Fingerprint Method for Indoor Localization Using Autoencoder Based Deep Extreme Learning Machine,Z. E. Khatab; A. Hajihoseini; S. A. Ghorashi,"Department of Electrical Engineering, Cognitive Telecommunication Research Group, Shahid Beheshti University, Tehran, Iran",IEEE Sensors Letters,20180123,2018,2,1,1,4,"By growing the demand for location based services in indoor environments in recent years, fingerprint based indoor localization has attracted much research interest. The fingerprint localization method works based on received signal strength (RSS) in wireless sensor networks. This method uses RSS measurements from available transmitter sensors, which are collected by a smart phone with internal sensors. In this article, we propose a novel algorithm that takes advantage of deep learning, extreme learning machines, and high level extracted features by autoencoder to improve the localization performance in the feature extraction and the classification. Furthermore, as the fingerprint database needs to be updated (due to the dynamic nature of environment), we also increase the number of training data, in order to improve the localization performance, gradually. Simulation results indicate that the proposed method provides a significant improvement in localization performance by using high level extracted features by autoencoder and increasing the number of training data.",,,10.1109/LSENS.2017.2787651,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8240634,Sensor applications;autoencoder;deep extreme learning machine;fingerprint;indoor localization;wireless sensor network,Decoding;Feature extraction;Machine learning;Neurons;Sensors;Training;Wireless sensor networks,,,,,,,,,20171227,Mar-18,,IEEE,IEEE Journals & Magazines
Extreme Learning Machine With Subnetwork Hidden Nodes for Regression and Classification,Y. Yang; Q. M. J. Wu,"Department of Electrical and Computer Engineering, University of Windsor, Windsor, ON, Canada",IEEE Transactions on Cybernetics,20170520,2016,46,12,2885,2898,"As demonstrated earlier, the learning effectiveness and learning speed of single-hidden-layer feedforward neural networks are in general far slower than required, which has been a major bottleneck for many applications. Huang et al. proposed extreme learning machine (ELM) which improves the training speed by hundreds of times as compared to its predecessor learning techniques. This paper offers an ELM-based learning method that can grow subnetwork hidden nodes by pulling back residual network error to the hidden layer. Furthermore, the proposed method provides a similar or better generalization performance with remarkably fewer hidden nodes as compared to other ELM methods employing huge number of hidden nodes. Thus, the learning speed of the proposed technique is hundred times faster compared to other ELMs as well as to back propagation and support vector machines. The experimental validations for all methods are carried out on 32 data sets.",2168-2267;21682267,,10.1109/TCYB.2015.2492468,10.13039/501100000038 - Natural Sciences and Engineering Research Council of Canada; ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7314912,Extreme learning machine (ELM);feedforward neural network (FNN);image recognition;learning effectiveness;universal approximation,Artificial neural networks;Learning systems;Mathematical model;Neurons;Standards;Support vector machines;Training,feedforward neural nets;image classification;learning (artificial intelligence);regression analysis;support vector machines,ELM;back propagation;classification;extreme learning machine;feedforward neural networks;image recognition;regression;subnetwork hidden nodes;support vector machines,,4,,,,,20151102,Dec. 2016,,IEEE,IEEE Journals & Magazines
Extreme learning machine for estimating blocking probability of bufferless OBS/OPS networks,H. C. Leung; C. S. Leung; E. W. M. Wong; S. Li,"Department of Electronic Engineering, City University of Hong Kong, Kowloon, Hong Kong",IEEE/OSA Journal of Optical Communications and Networking,20170809,2017,9,8,682,692,"Recently, the neural network approach for the blocking probability evaluation on optical networks was proposed, in which the inputs of the neural network were the optical network parameters and the output was the blocking probability of the optical network. The numerical results showed that its evaluation speed of the blocking probability was thousands of times faster than that of the discrete event simulator. However, the existing approach had two drawbacks. First, when the blocking probability was small, there was a significant approximation error due to the high dynamic range of the blocking probability. Second, the single-hidden-layer feedforward network model was used, which needed some time-consuming training algorithms to learn the parameters of hidden nodes, such as backpropagation. To solve these problems, this paper proposes to use the mean squared error of the log blocking probability as the training objective and use the extreme learning machine (ELM) framework for the training. Our numerical results show that the blocking probability estimated by our training objective is much more accurate than that of the existing approach, and it is obtained efficiently due to the greatly simplified training procedure offered by the ELM.",1943-0620;19430620,,10.1364/JOCN.9.000682,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8005559,Artificial neural network; Blocking probability; Network performance evaluation; Optical network,Adaptive optics;Approximation algorithms;Neural networks;Optical buffering;Optical fiber networks;Optical packet switching;Training,backpropagation;discrete event simulation;feedforward neural nets;mean square error methods;optical burst switching;probability,ELM;approximation error;backpropagation;bufferless OBS-OPS networks;discrete event simulator;extreme learning machine framework;hidden nodes;log blocking probability;mean squared error;neural network approach;optical network parameters;probability evaluation;single-hidden-layer feedforward network model;time-consuming training algorithms;training objective;training procedure,,,,,,,,Aug. 2017,,IEEE,IEEE Journals & Magazines
SAR Image Change Detection Based on Correlation Kernel and Multistage Extreme Learning Machine,L. Jia; M. Li; P. Zhang; Y. Wu,"National Laboratory of Radar Signal Processing and the Collaborative Innovation Center of Information Sensing and Understanding, Xidian University, Xi&#x0027;an, China",IEEE Transactions on Geoscience and Remote Sensing,20160811,2016,54,10,5993,6006,"Designing a kernel function with good discriminating ability and a highly application-adaptive kernelized classifier is the key of many kernel methods. However, not many kernel functions combining directly the bitemporal images' information are designed specifically for change detection tasks. In addition, extreme learning machine (ELM) has not found wide applications in change detection tasks, even though it is a potential kernel method possessing outstanding approximation and generalization capabilities as well as great classification accuracy and efficiency. Therefore, an approach relying on a difference correlation kernel (DCK) and a multistage ELM (MS-ELM) is proposed in this paper for synthetic aperture radar (SAR) image change detection. First, a DCK function is constructed specifically for change detection by measuring the “distance” between any two pixels. The DCK function depicts the cross-time similarities between couples of bitemporal image patches at any cyclic shifts with a kernel correlation operation and the high-order spatial distances between two differently located pixels with an algebraic subtraction. The DCK function possesses strong noise immunity and good identification of changed areas simultaneously. Second, an MS-ELM classifier is constructed for obtaining the change detection result. In MS-ELM, the hidden nodes and weights between the hidden and output layers are updated stage by stage by improving the kernel functions that compose them. Each stage of the MS-ELM is a standard kernel-ELM, and the DCK function is utilized in the first stage. The regenerative kernel functions incorporate the output spatial-neighborhood information of the previous stage for enhancing remarkably the MS-ELM's discriminating ability and noise resistance. The converged result at the last stage of MS-ELM is the final change detection result. Experiments on real SAR image change detection demonstrate the effectiveness of the - CK function and the MS-ELM algorithm, particularly its good identification of changed areas and strong robustness against noise in SAR images.",0196-2892;01962892,,10.1109/TGRS.2016.2578438,National Ministries and Research Foundation; Natural Science Basic Research Plan in Shaanxi Province of China; Specialized Research Fund for the Doctoral Program of Higher Education; 10.13039/501100001809 - Natural Science Foundation of China; ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7498649,Change detection;difference correlation kernel (DCK) function;multistage extreme learning machine (ELM) (MS-ELM);spatial-neighborhood information;synthetic aperture radar (SAR) image,Change detection algorithms;Correlation;Feature extraction;Kernel;Standards;Support vector machines;Synthetic aperture radar,image classification;radar imaging;remote sensing by radar;synthetic aperture radar,DCK function;MS-ELM classifier;SAR image change detection;algebraic subtraction;application-adaptive kernelized classifier;bitemporal image patches;bitemporal images information;change detection tasks;correlation kernel;kernel function;kernel functions;kernel methods;multistage extreme learning machine;noise immunity;noise resistance;output spatial-neighborhood information;real SAR image change detection;standard kernel-ELM;synthetic aperture radar,,1,,,,,20160623,Oct. 2016,,IEEE,IEEE Journals & Magazines
Pruning Extreme Learning Machines Using the Successive Projections Algorithm,D. Parente Mesquita; J. Gomes; L. Ramos Rodrigues; R. Kawakami Galvao,"Univ. Fed. do Ceara, Fortaleza, Brazil",IEEE Latin America Transactions,20160211,2015,13,12,3974,3979,"Extreme Learning Machine (ELM) is a recently proposed machine learning method with successful applications in many domains. The key strengths of ELM are its simple formulation and the reduced number of hyper-parameters. Among these hyper-parameters, the number of hidden nodes has significant impact on ELM performance since too few/many hidden nodes may lead to underfitting/overfitting. In this work, we propose a pruning strategy for ELM using the Successive Projections Algorithm (SPA) as an approach to automatically find the number of hidden nodes. SPA was originally proposed for variable selection. In this work, it was adapted in order to be used to prune ELMs. The proposed method was compared to the Optimally Pruned Extreme Learning Machine algorithm (OP-ELM), which is considered as a state of the art method. Real world datasets were used to assess the performance of the proposed method for regression and classification problems. The application of the proposed model resulted in much simpler models with similar performance compared to the OP-ELM. For some classification instances, the performance of the proposed method outperformed the OP-ELM method.",1548-0992;15480992,,10.1109/TLA.2015.7404935,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7404935,exterme learning machines;neural networks;prunning techniques,Classification algorithms;Feedforward neural networks;Input variables;Learning systems;Predictive models;Presses;Projection algorithms,data handling;learning (artificial intelligence),ELM;OP-ELM;SPA;hyper-parameters;optimally pruned extreme learning machine algorithm;pruning extreme learning machines;real world datasets;successive projections algorithm;variable selection,,1,,,,,,Dec. 2015,,IEEE,IEEE Journals & Magazines
Graph Embedded Extreme Learning Machine,A. Iosifidis; A. Tefas; I. Pitas,"Department of Informatics, Aristotle University of Thessaloniki, Thessaloniki, Greece",IEEE Transactions on Cybernetics,20170520,2016,46,1,311,324,"In this paper, we propose a novel extension of the extreme learning machine (ELM) algorithm for single-hidden layer feedforward neural network training that is able to incorporate subspace learning (SL) criteria on the optimization process followed for the calculation of the network's output weights. The proposed graph embedded ELM (GEELM) algorithm is able to naturally exploit both intrinsic and penalty SL criteria that have been (or will be) designed under the graph embedding framework. In addition, we extend the proposed GEELM algorithm in order to be able to exploit SL criteria in arbitrary (even infinite) dimensional ELM spaces. We evaluate the proposed approach on eight standard classification problems and nine publicly available datasets designed for three problems related to human behavior analysis, i.e., the recognition of human face, facial expression, and activity. Experimental results denote the effectiveness of the proposed approach, since it outperforms other ELM-based classification schemes in all the cases.",2168-2267;21682267,,10.1109/TCYB.2015.2401973,European Union Seventh Framework Programme (FP7/2007¿2013) (IMPART); ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7052327,Extreme learning machine (ELM);facial image classification;graph embedding;human action recognition,Kernel;Laplace equations;Matrix decomposition;Optimization;Training;Training data;Vectors,face recognition;feedforward neural nets;graph theory;image classification;learning (artificial intelligence);optimisation,ELM-based classification schemes;GEELM algorithm;SL criteria;facial expression;graph embedded ELM algorithm;graph embedded extreme learning machine;graph embedding framework;human behavior analysis;human face recognition;network output weights;optimization process;single-hidden layer feedforward neural network training;subspace learning criteria,"0;Face;Female;Human Activities;Humans;Image Processing, Computer-Assisted;Machine Learning;Male;Pattern Recognition, Automated;Video Recording",31,,58,,,20150302,Jan. 2016,,IEEE,IEEE Journals & Magazines
Sparse Bayesian Extreme Learning Machine for Multi-classification,J. Luo; C. M. Vong; P. K. Wong,"Department of Computer and Information Science, University of Macau, Taipa, Macao",IEEE Transactions on Neural Networks and Learning Systems,20170520,2014,25,4,836,843,"Extreme learning machine (ELM) has become a popular topic in machine learning in recent years. ELM is a new kind of single-hidden layer feedforward neural network with an extremely low computational cost. ELM, however, has two evident drawbacks: 1) the output weights solved by Moore-Penrose generalized inverse is a least squares minimization issue, which easily suffers from overfitting and 2) the accuracy of ELM is drastically sensitive to the number of hidden neurons so that a large model is usually generated. This brief presents a sparse Bayesian approach for learning the output weights of ELM in classification. The new model, called Sparse Bayesian ELM (SBELM), can resolve these two drawbacks by estimating the marginal likelihood of network outputs and automatically pruning most of the redundant hidden neurons during learning phase, which results in an accurate and compact model. The proposed SBELM is evaluated on wide types of benchmark classification problems, which verifies that the accuracy of SBELM model is relatively insensitive to the number of hidden neurons; and hence a much more compact model is always produced as compared with other state-of-the-art neural network classifiers.",2162-237X;2162237X,,10.1109/TNNLS.2013.2281839,; ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6615928,Bayesian learning;classification;extreme learning machine (ELM);sparsity,Accuracy;Bayes methods;Computational modeling;Couplings;Neurons;Support vector machines;Training,belief networks;feedforward neural nets;learning (artificial intelligence);minimisation;pattern classification,ELM;Moore-Penrose generalized inverse;benchmark classification problem;hidden neurons;least squares minimization;machine learning;marginal likelihood estimation;redundant hidden neurons;single-hidden layer feedforward neural network;sparse Bayesian extreme learning machine,"0;Algorithms;Artificial Intelligence;Bayes Theorem;Computer Simulation;Models, Theoretical;Pattern Recognition, Automated",52,,25,,,20130930,Apr-14,,IEEE,IEEE Journals & Magazines
Incremental and Decremental Extreme Learning Machine Based on Generalized Inverse,B. Jin; Z. Jing; H. Zhao,"School of Computer Science and Software Engineering, East China Normal University, Shanghai, China",IEEE Access,20171025,2017,5,,20852,20865,"In online sequential applications, a machine learning model needs to have a self-updating ability to handle the situation, which the training set is changing. Conventional incremental extreme learning machine (ELM) and online sequential ELM are usually achieved in two approaches: directly updating the output weight and recursively computing the left pseudo inverse of the hidden layer output matrix. In this paper, we develop a novel solution for incremental and decremental ELM (DELM), via recursively updating and downdating the generalized inverse of the hidden layer output matrix. By preserving the global optimality and best generalization performance, our approach implements node incremental ELM (N-IELM) and sample incremental ELM (S-IELM) in a universal form, and overcomes the problem of self-starting and numerical instability in the conventional online sequential ELM. We also propose sample DELM (S-DELM), which is the first decremental version of ELM. The experiments on regression and classification problems with real-world data sets demonstrate the feasibility and effectiveness of the proposed algorithms with encouraging performances.",,,10.1109/ACCESS.2017.2758645,10.13039/501100001809 - NSFC-Zhejiang Joint Fund for the Integration of Industrialization and Information; 10.13039/501100003399 - Key Program of Shanghai Science and Technology Commission; 10.13039/501100003399 - Municipality Projects of Shanghai Science and Technology Commission; ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8057769,Extreme learning machine;decremental ELM;generalized inverse;incremental ELM;online sequential ELM,Approximation error;Classification algorithms;Computational complexity;Computational modeling;Machine learning algorithms;Neurons;Training,,,,,,,,OAPA,20171004,2017,,IEEE,IEEE Journals & Magazines
A novel hidden danger prediction method in cloud-based intelligent industrial production management using timeliness managing extreme learning machine,X. Luo; Xiaona Yang; Weiping Wang; X. Chang; X. Wang; Zhigang Zhao,"School of Computer and Communication Engineering, University of Science and Technology Beijing, 100083, China",China Communications,20160902,2016,13,7,74,82,"To prevent possible accidents, the study of data-driven analytics to predict hidden dangers in cloud service-based intelligent industrial production management has been the subject of increasing interest recently. A machine learning algorithm that uses timeliness managing extreme learning machine is utilized in this article to achieve the above prediction. Compared with traditional learning algorithms, extreme learning machine (ELM) exhibits high performance because of its unique feature of a high generalization capability at a fast learning speed. Timeliness managing ELM is proposed by incorporating timeliness management scheme into ELM. When using the timeliness managing ELM scheme to predict hidden dangers, newly incremental data could be added prior to the historical data to maximize the contribution of the newly incremental training data, because the incremental data may be able to contribute reasonable weights to represent the current production situation according to practical analysis of accidents in some industrial productions. Experimental results from a coal mine show that the use of timeliness managing ELM can improve the prediction accuracy of hidden dangers with better stability compared with other similar machine learning methods.",1673-5447;16735447,,10.1109/CC.2016.7559078,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7559078,cloud service;extreme learning machine;incremental learning;prediction,Artificial neural networks;Cloud computing;Data models;Machine learning algorithms;Neurons;Prediction algorithms;Production,accident prevention;cloud computing;learning (artificial intelligence);production engineering computing;production management,ELM;cloud-based intelligent industrial production management;data-driven analytics;hidden danger prediction method;machine learning algorithm;timeliness management scheme;timeliness managing extreme learning machine,,,,,,,,Jul-16,,IEEE,IEEE Journals & Magazines
